Description,ReleaseVersion,OperationStatus,EventTimestamp,LogicalLink,DiagnosticAddress,DiagNodeStatus,DTC_Integer,DisplayTroubleCode,DTC_TextTI,DTC_Text,DTC_Level,DtcStatusByte,MaskReason,AfterSalesText,OccurCount,DTCPrior,CentrAgingCount,KmMilea,TimeStamp,SnapshotCount
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AdaptCruisContrUDS,0013,Success,386,U112200,U112200,FAULT_ORUG01_01_BZ,3,40,,TBD,153,3,40,17,2026-07-13T15:56:32,6
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AdaptCruisContrUDS,0013,Success,467,U112300,U112300,FAULT_VZE_RELEVANT_TRAFFICLIGHT_ERROR,4,40,,TBD,3,4,40,3760,2026-08-03T15:16:54,4
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AdaptCruisContrUDS,0013,Success,790,U112200,U112200,FAULT_RB_PER_HV_SERVICE_OOS,6,40,,TBD,1,6,20,5632,2026-08-15T06:52:17,2
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AdaptCruisContrUDS,0013,Success,1127,U112100,U112100,FAULT_TIMEOUT_PSD_04,5,40,,TBD,8,5,40,2081,2026-07-25T18:51:13,6
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AdaptCruisContrUDS,0013,Success,1195,U112200,U112200,FAULT_GRA_ACC_01_CRC,3,40,,TBD,10,3,38,17,2026-07-13T15:56:36,6
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AdaptCruisContrUDS,0013,Success,1218,U112100,U112100,FAULT_TIMEOUT_PSD_05,5,40,,TBD,8,5,40,2081,2026-07-25T18:51:13,6
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AdaptCruisContrUDS,0013,Success,1219,U112100,U112100,FAULT_TIMEOUT_PSD_06,5,40,,TBD,8,5,40,2081,2026-07-25T18:51:13,6
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AdaptCruisContrUDS,0013,Success,1230,U112100,U112100,FAULT_TIMEOUT_MAINUNIT_01,5,40,,TBD,1,5,40,7053,2026-08-23T14:30:17,2
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AdaptCruisContrUDS,0013,Success,1841,U112200,U112200,FAULT_RB_NR_FR_BLINDNESS,6,40,,TBD,2,6,28,6340,2026-08-18T15:49:04,3
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AdaptCruisContrUDS,0013,Success,204812,U112100,U112100,FAULT_TIMEOUT_EINHEITEN_01,5,40,,TBD,1,5,40,7053,2026-08-23T14:30:20,2
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AdaptCruisContrUDS,0013,Success,204815,U112100,U112100,FAULT_TIMEOUT_FAS_ANZEIGEN_01,5,40,,TBD,1,5,40,7053,2026-08-23T14:30:20,2
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AirCondiUDS,0008,Success,880391,TXEP0D6F07,TXEP0D6F07,A/C Compressor Motor Mechanical Failure,6,32,,TBD,1,6,17,5448,2026-08-13T18:04:41,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AirCondiUDS,0008,Success,2963617,TXEP2D38A1,TXEP2D38A1,Hybrid/EV Battery Pack Heater System Voltage,2,32,,TBD,1,2,13,5056,2026-08-10T13:30:41,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AirbaUDS,0015,Success,1075461,U112300,U112300,NWD: 0x0DB AWV_03 error value SDF_PSF_Objektstatus,6,32,,TBD,,,,,,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AirbaUDS,0015,Success,1075462,U112300,U112300,NWD: 0x0DB AWV_03 error value SDF_PSF_CW,6,32,,TBD,,,,,,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AirbaUDS,0015,Success,1075463,U112300,U112300,NWD: 0x0DB AWV_03 error value SDF_PSF_Kollisionsueberdeckung,6,32,,TBD,,,,,,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AirbaUDS,0015,Success,1075465,U112300,U112300,NWD: 0x0DB AWV_03 error value SDF_PSF_v_rel,6,32,,TBD,,,,,,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AirbaUDS,0015,Success,9777408,B153100,B153100,PreCrash System limited function Implausible message,2,32,,TBD,,,,,,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AppliServe1Syste1AdaptUDS,8123,Success,8495361,P1CB500,P1CB500,Pnc_installation_vehicle_certificate_error_communication,6,104,,TBD,13,6,36,16,2026-07-13T10:42:30,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AppliServe1Syste1AdaptUDS,8123,Success,8495362,P1CB600,P1CB600,Pnc_installation_vehicle_certificate_error_installation,6,109,,TBD,3,6,40,18,2026-07-15T12:27:46,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AppliServe3Syste1InfotUDS,8125,Success,25,B14A429,B14A429,"Gyroscope, implausible signal",5,109,,TBD,1,5,39,16777215,2063-12-31T00:00:00,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AppliServe3Syste1InfotUDS,8125,Success,7179,U111000,U111000,LSG VPS (0x0B) - function restriction due to communication error - BapErr_retry not successful,6,32,,TBD,1,6,38,5286,2026-08-11T18:06:15,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AppliServe3Syste1InfotUDS,8125,Success,8208,U303600,U303600,SOK_timeserver_not_available,3,32,,TBD,20,3,39,16777215,2063-12-31T00:00:00,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AppliServe3Syste1InfotUDS,8125,Success,8209,U303500,U303500,SOK_signature_verification_failed,1,38,,TBD,13,1,40,558,2026-07-16T17:23:51,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AppliServe3Syste1InfotUDS,8125,Success,1507335,B18C8F1,B18C8F1,Hdcp_authentication_error_video_gmsl_cid_certificate,6,32,,TBD,1,6,38,5282,2026-08-11T14:42:00,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_AppliServe3Syste1InfotUDS,8125,Success,2031620,U183A00,U183A00,Hud_data_not_valid,5,32,,TBD,20,5,39,18,2026-07-14T06:11:22,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_BatteChargContrModulUDS,00C6,Success,12627335,TXEU00AD87,TXEU00AD87,ORU_01_TimeOut,3,32,,TBD,,,,,,0
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_BatteEnergContrModulUDS,008C,Success,2620551,P27FC87,P27FC87,Diag_C_EVCAN_Gateway_CE1,2,32,,TBD,,,,,,0
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_Brake1UDS,0003,Success,13130119,TXEU085987,TXEU085987,MSG_PARKEN_TIMEOUT,2,32,,TBD,1,2,5,5209,2026-08-11T11:35:15,2
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_Brake1UDS,0003,Success,2620551,P27FC87,P27FC87,MSG_ICAS1_TIMEOUT,2,40,,TBD,1,2,40,7053,2026-08-23T14:30:19,2
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_Brake1UDS,0003,Success,5326338,C114602,C114602,RKA_DEM_MON_SIG_INTEGY,5,40,,TBD,1,5,39,7053,2026-08-23T14:30:29,2
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_CamerSysteRearViewUDS,006C,Success,13705616,U112100,U112100,message ORU_01 not received,6,32,,TBD,,,,,,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_CamerSysteRearViewUDS,006C,Success,13705474,U112100,U112100,message PDU_TouchGesture_01 not received,6,32,,TBD,1,6,40,7053,2026-08-23T14:30:17,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_CamerSysteRearViewUDS,006C,Success,9598977,B127801,B127801,Video link to FV camera - Connection Error,4,32,,TBD,1,4,17,6032,2026-08-17T07:59:08,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_CamerSysteRearViewUDS,006C,Success,9599233,B127901,B127901,Video link to RV camera - Connection Error,4,32,,TBD,1,4,17,6032,2026-08-17T07:59:03,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_CamerSysteRearViewUDS,006C,Success,9599489,B127A01,B127A01,Video link to SV left camera - Connection Error,4,32,,TBD,1,4,17,6032,2026-08-17T07:59:08,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_CamerSysteRearViewUDS,006C,Success,9599745,B127B01,B127B01,Video link to SV right camera - Connection Error,4,32,,TBD,1,4,17,6032,2026-08-17T07:59:08,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_CamerSysteRearViewUDS,006C,Success,13824256,U1C7100,U1C7100,FV_camera_no_rtp_communication,6,32,,TBD,2,6,17,6031,2026-08-17T07:58:56,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_CamerSysteRearViewUDS,006C,Success,13824768,U1C7200,U1C7200,RV_camera_no_rtp_communication,6,32,,TBD,2,6,17,6031,2026-08-17T07:58:56,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_CamerSysteRearViewUDS,006C,Success,13825280,U1C7300,U1C7300,SV_left_camera_no_rtp_communication,6,32,,TBD,2,6,17,6031,2026-08-17T07:58:56,1
"dm4e_ver:1.10.0, vehicle_sw_ver:ID.SW6.0, pdx_ver:VWE41_2026-02-05_0_116_dr",4.0.1,Completed,2026-08-24T21:00:59.460Z,LL_CamerSysteRearViewUDS,006C,Success,13825792,U1C7400,U1C7400,SV_right_camera_no_rtp_communication,6,32,,TBD,2,6,17,6031,2026-08-17T07:58:56,1
